Time Ch1 Ch2	
-6.880E-5	0.25000	-0.02000
-6.840E-5	0.23000	-0.00800
-6.800E-5	0.24000	-0.02000
-6.760E-5	0.24000	-0.02800
-6.720E-5	0.23000	-0.03600
-6.680E-5	0.21000	-0.04400
-6.640E-5	0.24000	-0.04400
-6.600E-5	0.23000	-0.03600
-6.560E-5	0.25000	-0.03200
-6.520E-5	0.21000	-0.01200
-6.480E-5	0.22000	-0.01600
-6.440E-5	0.22000	-0.02800
-6.400E-5	0.24000	-0.02000
-6.360E-5	0.23000	-0.01200
-6.320E-5	0.21000	0.00000
-6.280E-5	0.24000	0.00000
-6.240E-5	0.21000	-0.01600
-6.200E-5	0.22000	-0.02000
-6.160E-5	0.24000	-0.02800
-6.120E-5	0.21000	-0.02800
-6.080E-5	0.24000	-0.02800
-6.040E-5	0.21000	-0.02400
-6.000E-5	0.25000	-0.02800
-5.960E-5	0.21000	-0.02400
-5.920E-5	0.24000	-0.02000
-5.880E-5	0.23000	0.00000
-5.840E-5	0.22000	0.00000
-5.800E-5	0.22000	-0.00400
-5.760E-5	0.24000	-0.01200
-5.720E-5	0.21000	-0.02000
-5.680E-5	0.22000	-0.01600
-5.640E-5	0.22000	-0.04000
-5.600E-5	0.24000	-0.04400
-5.560E-5	0.23000	-0.03600
-5.520E-5	0.22000	-0.03200
-5.480E-5	0.23000	-0.02400
-5.440E-5	0.25000	-0.01600
-5.400E-5	0.23000	-0.00800
-5.360E-5	0.23000	-0.00800
-5.320E-5	0.23000	-0.01200
-5.280E-5	0.21000	-0.02000
-5.240E-5	0.26000	-0.02000
-5.200E-5	0.25000	-0.03600
-5.160E-5	0.23000	-0.01600
-5.120E-5	0.26000	-0.03600
-5.080E-5	0.21000	-0.01600
-5.040E-5	0.24000	-0.02800
-5.000E-5	0.24000	-0.03200
-4.960E-5	0.21000	-0.04400
-4.920E-5	0.21000	-0.03200
-4.880E-5	0.22000	-0.02400
-4.840E-5	0.22000	-0.03600
-4.800E-5	0.23000	-0.02800
-4.760E-5	0.23000	-0.03600
-4.720E-5	0.24000	-0.04400
-4.680E-5	0.23000	-0.05200
-4.640E-5	0.21000	-0.02400
-4.600E-5	0.22000	-0.00800
-4.560E-5	0.24000	-0.02800
-4.520E-5	0.22000	-0.01600
-4.480E-5	0.24000	-0.01600
-4.440E-5	0.21000	-0.02800
-4.400E-5	0.24000	-0.01600
-4.360E-5	0.22000	0.00000
-4.320E-5	0.21000	0.00000
-4.280E-5	0.22000	0.00000
-4.240E-5	0.24000	-0.02000
-4.200E-5	0.23000	-0.03200
-4.160E-5	0.21000	-0.05200
-4.120E-5	0.21000	-0.03200
-4.080E-5	0.25000	-0.02800
-4.040E-5	0.23000	-0.02800
-4.000E-5	0.23000	-0.02800
-3.960E-5	0.24000	-0.02400
-3.920E-5	0.21000	-0.02400
-3.880E-5	0.22000	-0.03600
-3.840E-5	0.22000	-0.05200
-3.800E-5	0.24000	-0.02400
-3.760E-5	0.23000	-0.02800
-3.720E-5	0.21000	-0.02000
-3.680E-5	0.22000	-0.03600
-3.640E-5	0.22000	-0.01600
-3.600E-5	0.24000	-0.02000
-3.560E-5	0.22000	-0.02800
-3.520E-5	0.23000	-0.00800
-3.480E-5	0.23000	-0.02800
-3.440E-5	0.24000	-0.02400
-3.400E-5	0.25000	-0.02800
-3.360E-5	0.23000	-0.01600
-3.320E-5	0.23000	-0.02000
-3.280E-5	0.23000	-0.05200
-3.240E-5	0.23000	-0.04000
-3.200E-5	0.22000	-0.01600
-3.160E-5	0.24000	-0.01600
-3.120E-5	0.19000	-0.02000
-3.080E-5	0.23000	-0.03600
-3.040E-5	0.21000	-0.03200
-3.000E-5	0.23000	-0.01600
-2.960E-5	0.23000	-0.02000
-2.920E-5	0.23000	-0.00800
-2.880E-5	0.25000	-0.02000
-2.840E-5	0.21000	-0.01600
-2.800E-5	0.26000	-0.00800
-2.760E-5	0.23000	-0.02000
-2.720E-5	0.26000	-0.01200
-2.680E-5	0.23000	-0.01200
